,concept_id,concept_name,child_pair,group_code
0,10002944,General and reference,10011122,10002944
0,10002944,General and reference,10011123,10002944
1,10002950,Mathematics of computing,10003624,10002950
1,10002950,Mathematics of computing,10003648,10002950
1,10002950,Mathematics of computing,10003705,10002950
1,10002950,Mathematics of computing,10003712,10002950
1,10002950,Mathematics of computing,10003714,10002950
1,10002950,Mathematics of computing,10003741,10002950
2,10002951,Information systems,10002952,10002951
2,10002951,Information systems,10003152,10002951
2,10002951,Information systems,10003227,10002951
2,10002951,Information systems,10003260,10002951
2,10002951,Information systems,10003317,10002951
3,10002978,Security and privacy,10002979,10002978
3,10002978,Security and privacy,10002986,10002978
3,10002978,Security and privacy,10002991,10002978
3,10002978,Security and privacy,10002997,10002978
3,10002978,Security and privacy,10003001,10002978
3,10002978,Security and privacy,10003006,10002978
3,10002978,Security and privacy,10003014,10002978
3,10002978,Security and privacy,10003018,10002978
3,10002978,Security and privacy,10003022,10002978
3,10002978,Security and privacy,10003029,10002978
4,10003033,Networks,10003034,10003033
4,10003033,Networks,10003039,10003033
4,10003033,Networks,10003058,10003033
4,10003033,Networks,10003068,10003033
4,10003033,Networks,10003079,10003033
4,10003033,Networks,10003083,10003033
4,10003033,Networks,10003099,10003033
4,10003033,Networks,10003106,10003033
5,10003120,Human-centered computing,10003121,10003120
5,10003120,Human-centered computing,10003123,10003120
5,10003120,Human-centered computing,10003130,10003120
5,10003120,Human-centered computing,10003138,10003120
5,10003120,Human-centered computing,10003145,10003120
5,10003120,Human-centered computing,10011738,10003120
6,10003456,Social and professional topics,10003457,10003456
6,10003456,Social and professional topics,10003462,10003456
6,10003456,Social and professional topics,10010927,10003456
7,10003752,Theory of computation,10003753,10003752
7,10003752,Theory of computation,10003766,10003752
7,10003752,Theory of computation,10003777,10003752
7,10003752,Theory of computation,10003790,10003752
7,10003752,Theory of computation,10003809,10003752
7,10003752,Theory of computation,10010061,10003752
7,10003752,Theory of computation,10010070,10003752
7,10003752,Theory of computation,10010124,10003752
8,10010147,Computing methodologies,10010148,10010147
8,10010147,Computing methodologies,10010169,10010147
8,10010147,Computing methodologies,10010178,10010147
8,10010147,Computing methodologies,10010257,10010147
8,10010147,Computing methodologies,10010341,10010147
8,10010147,Computing methodologies,10010371,10010147
8,10010147,Computing methodologies,10010919,10010147
8,10010147,Computing methodologies,10011777,10010147
9,10010405,Applied computing,10003550,10010405
9,10010405,Applied computing,10010406,10010405
9,10010405,Applied computing,10010432,10010405
9,10010405,Applied computing,10010444,10010405
9,10010405,Applied computing,10010455,10010405
9,10010405,Applied computing,10010462,10010405
9,10010405,Applied computing,10010469,10010405
9,10010405,Applied computing,10010476,10010405
9,10010405,Applied computing,10010481,10010405
9,10010405,Applied computing,10010489,10010405
9,10010405,Applied computing,10010497,10010405
10,10010520,Computer systems organization,10010521,10010520
10,10010520,Computer systems organization,10010553,10010520
10,10010520,Computer systems organization,10010570,10010520
10,10010520,Computer systems organization,10010575,10010520
11,10010583,Hardware,10010584,10010583
11,10010583,Hardware,10010588,10010583
11,10010583,Hardware,10010600,10010583
11,10010583,Hardware,10010633,10010583
11,10010583,Hardware,10010662,10010583
11,10010583,Hardware,10010682,10010583
11,10010583,Hardware,10010717,10010583
11,10010583,Hardware,10010737,10010583
11,10010583,Hardware,10010750,10010583
11,10010583,Hardware,10010786,10010583
12,10011007,Software and its engineering,10010940,10011007
12,10011007,Software and its engineering,10011006,10011007
12,10011007,Software and its engineering,10011074,10011007
13,10011122,Document types,10002945,10002944
13,10011122,Document types,10002946,10002944
13,10011122,Document types,10002947,10002944
13,10011122,Document types,10002948,10002944
13,10011122,Document types,10002949,10002944
13,10011122,Document types,10003459,10002944
14,10011123,Cross-computing tools and techniques,10010577,10002944
14,10011123,Cross-computing tools and techniques,10010912,10002944
14,10011123,Cross-computing tools and techniques,10010916,10002944
14,10011123,Cross-computing tools and techniques,10011124,10002944
14,10011123,Cross-computing tools and techniques,10011130,10002944
14,10011123,Cross-computing tools and techniques,10011131,10002944
14,10011123,Cross-computing tools and techniques,10011133,10002944
14,10011123,Cross-computing tools and techniques,10011673,10002944
14,10011123,Cross-computing tools and techniques,10011674,10002944
14,10011123,Cross-computing tools and techniques,10011675,10002944
14,10011123,Cross-computing tools and techniques,10011676,10002944
15,10003624,Discrete mathematics,10003625,10002950
15,10003624,Discrete mathematics,10003633,10002950
16,10003648,Probability and statistics,10003649,10002950
16,10003648,Probability and statistics,10003662,10002950
16,10003648,Probability and statistics,10003670,10002950
16,10003648,Probability and statistics,10003671,10002950
16,10003648,Probability and statistics,10003688,10002950
16,10003648,Probability and statistics,10003700,10002950
16,10003648,Probability and statistics,10003702,10002950
16,10003648,Probability and statistics,10003703,10002950
16,10003648,Probability and statistics,10003704,10002950
17,10003705,Mathematical software,10003707,10002950
17,10003705,Mathematical software,10003708,10002950
17,10003705,Mathematical software,10011686,10002950
18,10003712,Information theory,10003713,10002950
19,10003714,Mathematical analysis,10003715,10002950
19,10003714,Mathematical analysis,10003716,10002950
19,10003714,Mathematical analysis,10003727,10002950
19,10003714,Mathematical analysis,10003732,10002950
19,10003714,Mathematical analysis,10003736,10002950
19,10003714,Mathematical analysis,10003738,10002950
19,10003714,Mathematical analysis,10003739,10002950
19,10003714,Mathematical analysis,10003740,10002950
20,10003741,Continuous mathematics,10003732,10002950
20,10003741,Continuous mathematics,10003742,10002950
20,10003741,Continuous mathematics,10003746,10002950
21,10002952,Data management systems,10002953,10002951
21,10002952,Data management systems,10002971,10002951
21,10002952,Data management systems,10003190,10002951
21,10002952,Data management systems,10003197,10002951
21,10002952,Data management systems,10003212,10002951
21,10002952,Data management systems,10003219,10002951
21,10002952,Data management systems,10003400,10002951
