parent_name,child_name,group,type
Discrete mathematics,Combinatorics,10002950_1,train
Combinatorics,Combinatoric problems,10002950_1,train
Combinatorics,Permutations and combinations,10002950_1,train
Combinatorics,Combinatorial algorithms,10002950_1,train
Combinatorics,Generating functions,10002950_1,train
Combinatorics,Combinatorial optimization,10002950_1,train
Combinatorics,Combinatorics on words,10002950_1,train
Combinatorics,Enumeration,10002950_1,train
Discrete mathematics,Graph theory,10002950_1,train
Graph theory,Trees,10002950_1,train
Graph theory,Hypergraphs,10002950_1,train
Graph theory,Random graphs,10002950_1,train
Graph theory,Graph coloring,10002950_1,train
Graph theory,Paths and connectivity problems,10002950_1,train
Graph theory,Graph enumeration,10002950_1,train
Graph theory,Matchings and factors,10002950_1,train
Graph theory,Graphs and surfaces,10002950_1,train
Graph theory,Network flows,10002950_1,train
Graph theory,Spectra of graphs,10002950_1,train
Graph theory,Extremal graph theory,10002950_1,train
Graph theory,Matroids and greedoids,10002950_1,train
Graph theory,Graph algorithms,10002950_1,train
Graph theory,Approximation algorithms,10002950_1,train
Probability and statistics,Probabilistic representations,10002950_2,test
Probabilistic representations,Bayesian networks,10002950_2,test
Probabilistic representations,Markov networks,10002950_2,test
Probabilistic representations,Factor graphs,10002950_2,test
Probabilistic representations,Decision diagrams,10002950_2,test
Probabilistic representations,Equational models,10002950_2,test
Probabilistic representations,Causal networks,10002950_2,test
Probabilistic representations,Stochastic differential equations,10002950_2,test
Probabilistic representations,Nonparametric representations,10002950_2,test
Nonparametric representations,Kernel density estimators,10002950_2,test
Nonparametric representations,Spline models,10002950_2,test
Nonparametric representations,Bayesian nonparametric models,10002950_2,test
Probability and statistics,Probabilistic inference problems,10002950_2,test
Probabilistic inference problems,Maximum likelihood estimation,10002950_2,test
Probabilistic inference problems,Bayesian computation,10002950_2,test
Probabilistic inference problems,Computing most probable explanation,10002950_2,test
Probabilistic inference problems,Hypothesis testing and confidence interval computation,10002950_2,test
Probabilistic inference problems,Density estimation,10002950_2,test
Density estimation,Quantile regression,10002950_2,test
Probabilistic inference problems,Max marginal computation,10002950_2,test
Probability and statistics,Probabilistic reasoning algorithms,10002950_2,test
Probabilistic reasoning algorithms,Variable elimination,10002950_2,test
Probabilistic reasoning algorithms,Loopy belief propagation,10002950_2,test
Probabilistic reasoning algorithms,Variational methods,10002950_2,test
Probabilistic reasoning algorithms,Expectation maximization,10002950_2,test
Probabilistic reasoning algorithms,Markov-chain Monte Carlo methods,10002950_2,test
Markov-chain Monte Carlo methods,Gibbs sampling,10002950_2,test
Markov-chain Monte Carlo methods,Metropolis-Hastings algorithm,10002950_2,test
Markov-chain Monte Carlo methods,Simulated annealing,10002950_2,test
Markov-chain Monte Carlo methods,Markov-chain Monte Carlo convergence measures,10002950_2,test
Probabilistic reasoning algorithms,Sequential Monte Carlo methods,10002950_2,test
Probabilistic reasoning algorithms,Kalman filters and hidden Markov models,10002950_2,test
Probabilistic reasoning algorithms,Resampling methods,10002950_2,test
Resampling methods,Bootstrapping,10002950_2,test
Resampling methods,Jackknifing,10002950_2,test
Probabilistic reasoning algorithms,Random number generation,10002950_2,test
Probability and statistics,Probabilistic algorithms,10002950_2,test
Probability and statistics,Statistical paradigms,10002950_2,test
Statistical paradigms,Queueing theory,10002950_2,test
Statistical paradigms,Contingency table analysis,10002950_2,test
Statistical paradigms,Regression analysis,10002950_2,test
Regression analysis,Robust regression,10002950_2,test
Statistical paradigms,Time series analysis,10002950_2,test
Statistical paradigms,Survival analysis,10002950_2,test
Statistical paradigms,Renewal theory,10002950_2,test
Statistical paradigms,Dimensionality reduction,10002950_2,test
Statistical paradigms,Cluster analysis,10002950_2,test
Statistical paradigms,Statistical graphics,10002950_2,test
Statistical paradigms,Exploratory data analysis,10002950_2,test
Probability and statistics,Stochastic processes,10002950_2,test
Stochastic processes,Markov processes,10002950_2,test
Probability and statistics,Nonparametric statistics,10002950_2,test
Probability and statistics,Distribution functions,10002950_2,test
Probability and statistics,Multivariate statistics,10002950_2,test
Mathematical software,Solvers,10002950_3,test
Mathematical software,Statistical software,10002950_3,test
Mathematical software,Mathematical software performance,10002950_3,test
Mathematical analysis,Numerical analysis,10002950_4,train
Numerical analysis,Computation of transforms,10002950_4,train
Numerical analysis,Computations in finite fields,10002950_4,train
Numerical analysis,Computations on matrices,10002950_4,train
Numerical analysis,Computations on polynomials,10002950_4,train
Computations on polynomials,Gr枚bner bases and other special bases,10002950_4,train
Numerical analysis,Number-theoretic computations,10002950_4,train
Numerical analysis,Interpolation,10002950_4,train
Numerical analysis,Numerical differentiation,10002950_4,train
Numerical analysis,Interval arithmetic,10002950_4,train
Numerical analysis,Arbitrary-precision arithmetic,10002950_4,train
Numerical analysis,Automatic differentiation,10002950_4,train
Numerical analysis,Mesh generation,10002950_4,train
Numerical analysis,Discretization,10002950_4,train
Mathematical analysis,Mathematical optimization,10002950_4,train
Mathematical analysis,Differential equations,10002950_4,train
Differential equations,Ordinary differential equations,10002950_4,train
Differential equations,Partial differential equations,10002950_4,train
Differential equations,Differential algebraic equations,10002950_4,train
Differential equations,Differential variational inequalities,10002950_4,train
Mathematical analysis,Calculus,10002950_4,train
Mathematical analysis,Functional analysis,10002950_4,train
Functional analysis,Approximation,10002950_4,train
Mathematical analysis,Integral equations,10002950_4,train
Mathematical analysis,Nonlinear equations,10002950_4,train
Mathematical analysis,Quadrature,10002950_4,train
Continuous mathematics,Calculus,10002950_5,test
Continuous mathematics,Topology,10002950_5,test
Topology,Point-set topology,10002950_5,test
Topology,Algebraic topology,10002950_5,test
Topology,Geometric topology,10002950_5,test
Continuous mathematics,Continuous functions,10002950_5,test
Data management systems,Database design and models,10002951_1,train
Database design and models,Relational database model,10002951_1,train
Database design and models,Entity relationship models,10002951_1,train
Database design and models,Graph-based database models,10002951_1,train
Graph-based database models,Hierarchical data models,10002951_1,train
Graph-based database models,Network data models,10002951_1,train
Database design and models,Physical data models,10002951_1,train
Database design and models,Data model extensions,10002951_1,train
Data model extensions,Semi-structured data,10002951_1,train
Data model extensions,Data streams,10002951_1,train
Data model extensions,Data provenance,10002951_1,train
Data model extensions,Incomplete data,10002951_1,train
Data model extensions,Temporal data,10002951_1,train
Data model extensions,Uncertainty,10002951_1,train
Data model extensions,Inconsistent data,10002951_1,train
Data management systems,Data structures,10002951_1,train
Data structures,Data access methods,10002951_1,train
Data access methods,Multidimensional range search,10002951_1,train
Data access methods,Data scans,10002951_1,train
Data access methods,Point lookups,10002951_1,train
Data access methods,Unidimensional range search,10002951_1,train
Data access methods,Proximity search,10002951_1,train
Data structures,Data layout,10002951_1,train
Data layout,Data compression,10002951_1,train
Data layout,Data encryption,10002951_1,train
Data layout,Record and block layout,10002951_1,train
Data management systems,Database management system engines,10002951_1,train
Database management system engines,DBMS engine architectures,10002951_1,train
Database management system engines,Database query processing,10002951_1,train
Database query processing,Query optimization,10002951_1,train
Database query processing,Query operators,10002951_1,train
Database query processing,Query planning,10002951_1,train
Database query processing,Join algorithms,10002951_1,train
Database management system engines,Database transaction processing,10002951_1,train
Database transaction processing,Data locking,10002951_1,train
Database transaction processing,Transaction logging,10002951_1,train
Database transaction processing,Database recovery,10002951_1,train
Database management system engines,Record and buffer management,10002951_1,train
Database management system engines,Parallel and distributed DBMSs,10002951_1,train
Parallel and distributed DBMSs,Key-value stores,10002951_1,train
Parallel and distributed DBMSs,MapReduce-based systems,10002951_1,train
Parallel and distributed DBMSs,Relational parallel and distributed DBMSs,10002951_1,train
Database management system engines,Triggers and rules,10002951_1,train
Database management system engines,Database views,10002951_1,train
Database management system engines,Integrity checking,10002951_1,train
Database management system engines,Distributed database transactions,10002951_1,train
Distributed database transactions,Distributed data locking,10002951_1,train
Distributed database transactions,Deadlocks,10002951_1,train
Distributed database transactions,Distributed database recovery,10002951_1,train
Database management system engines,Main memory engines,10002951_1,train
Database management system engines,Online analytical processing engines,10002951_1,train
Database management system engines,Stream management,10002951_1,train
Data management systems,Query languages,10002951_1,train
Query languages,Relational database query languages,10002951_1,train
Relational database query languages,Structured Query Language,10002951_1,train
Query languages,XML query languages,10002951_1,train
XML query languages,XPath,10002951_1,train
XML query languages,XQuery,10002951_1,train
Query languages,Query languages for non-relational engines,10002951_1,train
Query languages for non-relational engines,MapReduce languages,10002951_1,train
Query languages,Call level interfaces,10002951_1,train
Data management systems,Database administration,10002951_1,train
Database administration,Database utilities and tools,10002951_1,train
Database administration,Database performance evaluation,10002951_1,train
Database administration,Autonomous database administration,10002951_1,train
