,concept_id,concept_name,child_id,child_name,group_code
549,10010600,Integrated circuits,10010601,3D integrated circuits,10010583
555,10010633,Very large scale integration design,10010601,3D integrated circuits,10010583
362,10003790,Logic,10011119,Abstraction,10003752
1423,10010138,Program reasoning,10011119,Abstraction,10003752
2718,10010261,Reinforcement learning,10010276,Adversarial learning,10003752
2877,10010261,Reinforcement learning,10010276,Adversarial learning,10010147
2716,10010261,Reinforcement learning,10010274,Apprenticeship learning,10003752
2875,10010261,Reinforcement learning,10010274,Apprenticeship learning,10010147
1546,10010349,Simulation types and techniques,10011810,Artificial life,10010147
2912,10011809,Bio-inspired approaches,10011810,Artificial life,10010147
824,10003233,Collaborative and social computing systems and tools,10011766,Asynchronous editors,10002951
1128,10003233,Collaborative and social computing systems and tools,10011766,Asynchronous editors,10003120
1618,10010433,Aerospace,10010989,Avionics,10010405
1626,10010443,Electronics,10010989,Avionics,10010405
2109,10011138,Continuous optimization,10011803,Bio-inspired optimization,10002950
2112,10011141,Mixed discrete-continuous optimization,10011803,Bio-inspired optimization,10002950
2667,10011138,Continuous optimization,10011803,Bio-inspired optimization,10003752
2670,10011141,Mixed discrete-continuous optimization,10011803,Bio-inspired optimization,10003752
941,10002992,Authentication,10003479,Biometrics,10002978
2831,10010225,Computer vision tasks,10003479,Biometrics,10010147
817,10003233,Collaborative and social computing systems and tools,10003288,Blogs,10002951
1121,10003233,Collaborative and social computing systems and tools,10003288,Blogs,10003120
2292,10003286,Internet communications tools,10003288,Blogs,10002951
1366,10010071,Machine learning theory,10010076,Boosting,10003752
2923,10010333,Ensemble methods,10010076,Boosting,10010147
912,10003347,Retrieval tasks and goals,10011712,Business intelligence,10002951
1601,10010412,Business process management,10011712,Business intelligence,10010405
119,10003714,Mathematical analysis,10003732,Calculus,10002950
124,10003741,Continuous mathematics,10003732,Calculus,10002950
1220,10003480,Censorship,10003486,Censoring filters,10003456
1229,10003561,Network access control,10003486,Censoring filters,10003456
1722,10010537,Distributed architectures,10010538,Client-server architectures,10010520
3250,10011120,Distributed systems organizing principles,10010538,Client-server architectures,10011007
251,10003099,Network services,10003100,Cloud computing,10003033
1721,10010537,Distributed architectures,10003100,Cloud computing,10010520
3249,10011120,Distributed systems organizing principles,10003100,Cloud computing,10011007
696,10003688,Statistical paradigms,10003697,Cluster analysis,10002950
2866,10010260,Unsupervised learning,10003697,Cluster analysis,10010147
140,10003227,Information systems applications,10003233,Collaborative and social computing systems and tools,10002951
282,10003130,Collaborative and social computing,10003233,Collaborative and social computing systems and tools,10003120
841,10003351,Data mining,10003269,Collaborative filtering,10002951
851,10003261,Web searching and information discovery,10003269,Collaborative filtering,10002951
1111,10003131,"Collaborative and social computing theory, concepts and paradigms",10003269,Collaborative filtering,10003120
646,10003625,Combinatorics,10003628,Combinatorial algorithms,10002950
