,parent_x,child_x,group_x,compare,parent_y,child_y,group_y
0,explosion,inflation,647,explosioninflation647,explosion,inflation,647.0
1,explosion,big_bang,647,explosionbig_bang647,explosion,big_bang,647.0
2,explosion,nuclear_explosion,647,explosionnuclear_explosion647,explosion,nuclear_explosion,647.0
3,explosion,bomb_blast,647,explosionbomb_blast647,explosion,bomb_blast,647.0
4,explosion,backblast,647,explosionbackblast647,explosion,backblast,647.0
5,explosion,fragmentation,647,explosionfragmentation647,explosion,fragmentation,647.0
6,explosion,airburst,647,explosionairburst647,explosion,airburst,647.0
7,explosion,blowback,647,explosionblowback647,explosion,blowback,647.0
8,explosion,blast,647,explosionblast647,explosion,blast,647.0
9,explosion,backfire,647,explosionbackfire647,explosion,backfire,647.0
10,blast,nuclear_explosion,647,blastnuclear_explosion647,,,
11,blast,bomb_blast,647,blastbomb_blast647,,,
12,bomb_blast,nuclear_explosion,647,bomb_blastnuclear_explosion647,,,
13,blowback,backblast,647,blowbackbackblast647,,,
14,insanity,senile_dementia,648,insanitysenile_dementia648,,,
15,insanity,Alzheimer's_disease,648,insanityAlzheimer's_disease648,,,
16,insanity,lunacy,648,insanitylunacy648,,,
17,insanity,alcoholic_dementia,648,insanityalcoholic_dementia648,,,
18,insanity,Pick's_disease,648,insanityPick's_disease648,,,
19,insanity,irrationality,648,insanityirrationality648,,,
20,insanity,craziness,648,insanitycraziness648,,,
21,insanity,dementia,648,insanitydementia648,,,
22,insanity,derangement,648,insanityderangement648,,,
23,insanity,presenile_dementia,648,insanitypresenile_dementia648,,,
24,dementia,senile_dementia,648,dementiasenile_dementia648,dementia,senile_dementia,648.0
25,dementia,Alzheimer's_disease,648,dementiaAlzheimer's_disease648,dementia,Alzheimer's_disease,648.0
26,dementia,alcoholic_dementia,648,dementiaalcoholic_dementia648,dementia,alcoholic_dementia,648.0
27,dementia,Pick's_disease,648,dementiaPick's_disease648,,,
28,dementia,presenile_dementia,648,dementiapresenile_dementia648,dementia,presenile_dementia,648.0
29,presenile_dementia,Alzheimer's_disease,648,presenile_dementiaAlzheimer's_disease648,,,
30,presenile_dementia,Pick's_disease,648,presenile_dementiaPick's_disease648,,,
31,length,longness,649,lengthlongness649,length,longness,649.0
32,length,shortness,649,lengthshortness649,length,shortness,649.0
33,length,diameter,649,lengthdiameter649,length,diameter,649.0
34,length,semidiameter,649,lengthsemidiameter649,length,semidiameter,649.0
35,length,radius,649,lengthradius649,length,radius,649.0
36,length,circumference,649,lengthcircumference649,length,circumference,649.0
37,length,bore,649,lengthbore649,length,bore,649.0
38,length,windage,649,lengthwindage649,length,windage,649.0
39,length,radius_of_curvature,649,lengthradius_of_curvature649,length,radius_of_curvature,649.0
40,length,coextension,649,lengthcoextension649,,,
41,length,extension,649,lengthextension649,,,
42,length,elongation,649,lengthelongation649,,,
43,longness,coextension,649,longnesscoextension649,,,
44,longness,extension,649,longnessextension649,,,
45,longness,elongation,649,longnesselongation649,,,
46,diameter,bore,649,diameterbore649,diameter,bore,649.0
47,diameter,windage,649,diameterwindage649,,,
48,radius,semidiameter,649,radiussemidiameter649,,,
49,radius,radius_of_curvature,649,radiusradius_of_curvature649,radius,radius_of_curvature,649.0
50,extension,coextension,649,extensioncoextension649,extension,coextension,649.0
51,social_welfare,social_insurance,650,social_welfaresocial_insurance650,social_welfare,social_insurance,650.0
52,social_welfare,relief,650,social_welfarerelief650,,,
53,social_welfare,unemployment_compensation,650,social_welfareunemployment_compensation650,social_welfare,unemployment_compensation,650.0
54,social_welfare,supplementary_benefit,650,social_welfaresupplementary_benefit650,,,
55,social_welfare,health_care,650,social_welfarehealth_care650,,,
56,social_welfare,dole,650,social_welfaredole650,,,
57,social_welfare,primary_health_care,650,social_welfareprimary_health_care650,,,
58,social_welfare,Medicaid,650,social_welfareMedicaid650,,,
