,parent_x,child_x,group_x,type,compare,parent_y,child_y,weight,group_y
0,explosion,airburst,647,test,explosionairburst647,explosion,airburst,0.8990346193313599,647.0
1,explosion,blowback,647,test,explosionblowback647,explosion,blowback,0.32556334137916565,647.0
2,explosion,big_bang,647,test,explosionbig_bang647,explosion,big_bang,0.7472990155220032,647.0
3,explosion,inflation,647,test,explosioninflation647,explosion,inflation,0.4632300138473511,647.0
4,explosion,blast,647,test,explosionblast647,explosion,blast,0.6654905080795288,647.0
5,explosion,backfire,647,test,explosionbackfire647,explosion,backfire,0.3210112452507019,647.0
6,explosion,fragmentation,647,test,explosionfragmentation647,explosion,fragmentation,0.2800569236278534,647.0
7,blowback,backblast,647,test,blowbackbackblast647,blowback,backblast,0.1374262124300003,647.0
8,blast,bomb_blast,647,test,blastbomb_blast647,blast,bomb_blast,0.9154332280158997,647.0
9,bomb_blast,nuclear_explosion,647,test,bomb_blastnuclear_explosion647,,,,
10,insanity,irrationality,648,test,insanityirrationality648,insanity,irrationality,0.8295565843582153,648.0
11,insanity,dementia,648,test,insanitydementia648,insanity,dementia,0.4976349174976349,648.0
12,insanity,craziness,648,test,insanitycraziness648,insanity,craziness,0.8467352390289307,648.0
13,insanity,derangement,648,test,insanityderangement648,insanity,derangement,0.7118439674377441,648.0
14,insanity,lunacy,648,test,insanitylunacy648,insanity,lunacy,0.911037266254425,648.0
15,dementia,presenile_dementia,648,test,dementiapresenile_dementia648,dementia,presenile_dementia,0.9900943636894226,648.0
16,dementia,alcoholic_dementia,648,test,dementiaalcoholic_dementia648,dementia,alcoholic_dementia,0.9816105365753174,648.0
17,dementia,senile_dementia,648,test,dementiasenile_dementia648,dementia,senile_dementia,0.9917353391647339,648.0
18,presenile_dementia,Alzheimer's_disease,648,test,presenile_dementiaAlzheimer's_disease648,presenile_dementia,Alzheimer's_disease,0.3096054792404175,648.0
19,presenile_dementia,Pick's_disease,648,test,presenile_dementiaPick's_disease648,presenile_dementia,Pick's_disease,0.32090169191360474,648.0
20,length,shortness,649,test,lengthshortness649,length,shortness,0.86003178358078,649.0
21,length,circumference,649,test,lengthcircumference649,length,circumference,0.9054474234580994,649.0
22,length,diameter,649,test,lengthdiameter649,length,diameter,0.8120856881141663,649.0
23,length,radius,649,test,lengthradius649,length,radius,0.8876373767852783,649.0
24,length,longness,649,test,lengthlongness649,length,longness,0.9683374762535095,649.0
25,diameter,bore,649,test,diameterbore649,diameter,bore,0.6171746253967285,649.0
26,diameter,windage,649,test,diameterwindage649,diameter,windage,0.4334688186645508,649.0
27,radius,radius_of_curvature,649,test,radiusradius_of_curvature649,radius,radius_of_curvature,0.9582504630088806,649.0
28,radius,semidiameter,649,test,radiussemidiameter649,radius,semidiameter,0.7840085625648499,649.0
29,longness,extension,649,test,longnessextension649,longness,extension,0.23310977220535278,649.0
30,longness,elongation,649,test,longnesselongation649,longness,elongation,0.604555070400238,649.0
31,extension,coextension,649,test,extensioncoextension649,extension,coextension,0.9635076522827148,649.0
32,social_welfare,social_insurance,650,test,social_welfaresocial_insurance650,social_welfare,social_insurance,0.6348744034767151,650.0
33,social_welfare,relief,650,test,social_welfarerelief650,social_welfare,relief,0.7491748929023743,650.0
34,social_welfare,dole,650,test,social_welfaredole650,social_welfare,dole,0.6482099890708923,650.0
35,social_insurance,national_insurance,650,test,social_insurancenational_insurance650,social_insurance,national_insurance,0.42177480459213257,650.0
36,social_insurance,health_care,650,test,social_insurancehealth_care650,social_insurance,health_care,0.19087395071983337,650.0
37,social_insurance,Social_Security,650,test,social_insuranceSocial_Security650,social_insurance,Social_Security,0.505714476108551,650.0
38,social_insurance,supplementary_benefit,650,test,social_insurancesupplementary_benefit650,social_insurance,supplementary_benefit,0.20440073311328888,650.0
39,social_insurance,disability_insurance,650,test,social_insurancedisability_insurance650,social_insurance,disability_insurance,0.4015977382659912,650.0
40,social_insurance,unemployment_compensation,650,test,social_insuranceunemployment_compensation650,social_insurance,unemployment_compensation,0.30937138199806213,650.0
41,health_care,primary_health_care,650,test,health_careprimary_health_care650,health_care,primary_health_care,0.9801514744758606,650.0
42,health_care,Medicare,650,test,health_careMedicare650,health_care,Medicare,0.7879802584648132,650.0
43,health_care,Medicaid,650,test,health_careMedicaid650,health_care,Medicaid,0.8147890567779541,650.0
44,Social_Security,survivors_insurance,650,test,Social_Securitysurvivors_insurance650,Social_Security,survivors_insurance,0.024414870887994766,650.0
45,Social_Security,old-age_insurance,650,test,Social_Securityold-age_insurance650,Social_Security,old-age_insurance,0.03512571379542351,650.0
46,armor_plate,pallette,651,test,armor_platepallette651,armor_plate,pallette,0.3633778989315033,651.0
47,armor_plate,fauld,651,test,armor_platefauld651,armor_plate,fauld,0.3474878668785095,651.0
48,armor_plate,gorget,651,test,armor_plategorget651,armor_plate,gorget,0.4196287989616394,651.0
49,armor_plate,cubitiere,651,test,armor_platecubitiere651,armor_plate,cubitiere,0.344246506690979,651.0
50,armor_plate,epauliere,651,test,armor_plateepauliere651,,,,
51,armor_plate,knee_piece,651,test,armor_plateknee_piece651,armor_plate,knee_piece,0.18009887635707855,651.0
52,armor_plate,cannon,651,test,armor_platecannon651,armor_plate,cannon,0.3524799048900604,651.0
53,armor_plate,brassard,651,test,armor_platebrassard651,armor_plate,brassard,0.43457889556884766,651.0
54,armor_plate,tasset,651,test,armor_platetasset651,armor_plate,tasset,0.3206006586551666,651.0
55,armor_plate,backplate,651,test,armor_platebackplate651,armor_plate,backplate,0.45294785499572754,651.0
56,armor_plate,breastplate,651,test,armor_platebreastplate651,armor_plate,breastplate,0.3511262536048889,651.0
57,armor_plate,nosepiece,651,test,armor_platenosepiece651,armor_plate,nosepiece,0.23578670620918274,651.0
58,armor_plate,cuisse,651,test,armor_platecuisse651,armor_plate,cuisse,0.2948453426361084,651.0
59,armor_plate,beaver,651,test,armor_platebeaver651,armor_plate,beaver,0.36890581250190735,651.0
60,armor_plate,skirt_of_tasses,651,test,armor_plateskirt_of_tasses651,,,,
61,armor_plate,greave,651,test,armor_plategreave651,armor_plate,greave,0.41636669635772705,651.0
62,armor_plate,solleret,651,test,armor_platesolleret651,,,,
63,armor_plate,roundel,651,test,armor_plateroundel651,armor_plate,roundel,0.4081364572048187,651.0
64,armor_plate,helmet,651,test,armor_platehelmet651,armor_plate,helmet,0.22928985953330994,651.0
65,armor_plate,tuille,651,test,armor_platetuille651,armor_plate,tuille,0.37058496475219727,651.0
66,armor_plate,chanfron,651,test,armor_platechanfron651,armor_plate,chanfron,0.31889989972114563,651.0
67,armor_plate,visor,651,test,armor_platevisor651,armor_plate,visor,0.32843372225761414,651.0
