,Unnamed: 0.1,Unnamed: 0,parent_x,child_x,group_x,flag,predict,label,compare,parent_y,child_y,weight,group_y
0,12869,12869,dominance,absolutism,647,True,0.7201967377145966,1,dominanceabsolutism647,dominance,absolutism,0.5177276134490967,647.0
1,12870,12870,dominance,ascendant,647,True,0.7313681493567673,1,dominanceascendant647,,,,
2,12871,12871,dominance,domination,647,True,0.7593970137013155,1,dominancedomination647,dominance,domination,0.8540220260620117,647.0
3,12872,12872,domination,transcendence,647,True,0.7296134753419806,1,dominationtranscendence647,domination,transcendence,0.5048455595970154,647.0
4,12873,12873,dominance,dominion,647,True,0.7056140094743577,1,dominancedominion647,dominance,dominion,0.6410732269287109,647.0
5,12874,12874,dominion,paramountcy,647,True,0.7763175607205874,1,dominionparamountcy647,,,,
6,12875,12875,dominion,raj,647,True,0.6504835655538256,1,dominionraj647,dominion,raj,0.4353215992450714,647.0
7,12876,12876,dominion,reign,647,True,0.6787272276779002,1,dominionreign647,dominion,reign,0.5108538866043091,647.0
8,12877,12877,reign,scepter,647,True,0.5627370777699786,1,reignscepter647,,,,
9,12878,12878,dominion,suzerainty,647,True,0.6298239960224441,1,dominionsuzerainty647,dominion,suzerainty,0.31427350640296936,647.0
10,12879,12879,dominance,monopoly,647,True,0.637977418776395,1,dominancemonopoly647,dominance,monopoly,0.5290147662162781,647.0
11,12880,12880,dominance,predominance,647,True,0.7033479048492202,1,dominancepredominance647,dominance,predominance,0.6687517166137695,647.0
12,12881,12881,dominance,regulation,647,True,0.5117497796755864,1,dominanceregulation647,,,,
13,12882,12882,need,lack,648,True,0.6493292368012947,1,needlack648,need,lack,0.6463632583618164,648.0
14,12883,12883,lack,absence,648,True,0.6111713681532475,1,lackabsence648,lack,absence,0.8889486789703369,648.0
15,12884,12884,absence,awayness,648,True,0.7011473348911942,1,absenceawayness648,absence,awayness,0.6435002684593201,648.0
16,12885,12885,absence,nonoccurrence,648,True,0.614301513316494,1,absencenonoccurrence648,absence,nonoccurrence,0.8495422005653381,648.0
17,12886,12886,lack,dearth,648,True,0.6040254042460069,1,lackdearth648,lack,dearth,0.8897143602371216,648.0
18,12887,12887,lack,deficit,648,True,0.3926431393833907,1,lackdeficit648,lack,deficit,0.5840201377868652,648.0
19,12888,12888,lack,mineral_deficiency,648,True,0.5305294151795025,1,lackmineral_deficiency648,lack,mineral_deficiency,0.66852205991745,648.0
20,12889,12889,mineral_deficiency,sideropenia,648,True,0.4613590469585582,1,mineral_deficiencysideropenia648,,,,
21,12890,12890,lack,shortness,648,True,0.5258131502092416,1,lackshortness648,lack,shortness,0.6992115378379822,648.0
22,12891,12891,lack,stringency,648,True,0.2934763955409473,1,lackstringency648,lack,stringency,0.6282513737678528,648.0
23,12892,12892,need,necessity,648,True,0.8192330995903991,1,neednecessity648,need,necessity,0.842461884021759,648.0
24,12893,12893,necessity,requisiteness,648,True,0.7328338587178661,1,necessityrequisiteness648,necessity,requisiteness,0.4990331828594208,648.0
25,12894,12894,necessity,urgency,648,True,0.5576924793615925,1,necessityurgency648,necessity,urgency,0.48597708344459534,648.0
26,12895,12895,urgency,criticality,648,True,0.493859853934017,1,urgencycriticality648,,,,
27,12896,12896,urgency,hurry,648,True,0.4099030686521527,1,urgencyhurry648,,,,
28,12897,12897,urgency,imperativeness,648,True,0.4849981041395907,1,urgencyimperativeness648,,,,
29,12898,12898,marital_status,bachelorhood,649,True,0.5476435391333735,1,marital_statusbachelorhood649,marital_status,bachelorhood,0.45736220479011536,649.0
30,12899,12899,marital_status,civil_union,649,True,0.5733302650599479,1,marital_statuscivil_union649,marital_status,civil_union,0.5488230586051941,649.0
31,12900,12900,marital_status,marriage,649,True,0.6847345947845934,1,marital_statusmarriage649,marital_status,marriage,0.6578239798545837,649.0
32,12901,12901,marriage,bigamy,649,True,0.6786790047404678,1,marriagebigamy649,marriage,bigamy,0.7691468596458435,649.0
33,12902,12902,marriage,common-law_marriage,649,True,0.9324394762305964,1,marriagecommon-law_marriage649,marriage,common-law_marriage,0.9805737137794495,649.0
34,12903,12903,marriage,cuckoldom,649,True,0.6096319256389151,1,marriagecuckoldom649,marriage,cuckoldom,0.6780667901039124,649.0
35,12904,12904,marriage,endogamy,649,True,0.6820254097209486,1,marriageendogamy649,marriage,endogamy,0.6834806799888611,649.0
36,12905,12905,marriage,exogamy,649,True,0.5505228389484315,1,marriageexogamy649,marriage,exogamy,0.5649155974388123,649.0
37,12906,12906,marriage,marriage_of_convenience,649,True,0.8251919339671625,1,marriagemarriage_of_convenience649,marriage,marriage_of_convenience,0.9610518217086792,649.0
38,12907,12907,marriage,misalliance,649,True,0.5606085306087454,1,marriagemisalliance649,marriage,misalliance,0.5661242604255676,649.0
39,12908,12908,misalliance,mesalliance,649,True,0.3784883035964915,1,misalliancemesalliance649,,,,
40,12909,12909,marriage,monandry,649,True,0.6463332838149305,1,marriagemonandry649,marriage,monandry,0.7425071597099304,649.0
41,12910,12910,marriage,monogamy,649,True,0.8073611815056901,1,marriagemonogamy649,marriage,monogamy,0.8282450437545776,649.0
42,12911,12911,monogamy,monogyny,649,True,0.5289109950386504,1,monogamymonogyny649,monogamy,monogyny,0.6173234581947327,649.0
43,12912,12912,monogamy,serial_monogamy,649,True,0.7352891840582091,1,monogamyserial_monogamy649,monogamy,serial_monogamy,0.9702962636947632,649.0
44,12913,12913,marriage,open_marriage,649,True,0.86919138088962,1,marriageopen_marriage649,marriage,open_marriage,0.9746033549308777,649.0
45,12914,12914,marriage,polygamy,649,True,0.8100105610849506,1,marriagepolygamy649,marriage,polygamy,0.9110938906669617,649.0
46,12915,12915,polygamy,polyandry,649,True,0.5184784918428686,1,polygamypolyandry649,polygamy,polyandry,0.6597039699554443,649.0
47,12916,12916,polygamy,polygyny,649,True,0.5650207801478401,1,polygamypolygyny649,polygamy,polygyny,0.7361434698104858,649.0
48,12917,12917,marriage,sigeh,649,True,0.5514632321694434,1,marriagesigeh649,marriage,sigeh,0.7171107530593872,649.0
49,12918,12918,marital_status,spinsterhood,649,True,0.5342399188329185,1,marital_statusspinsterhood649,marital_status,spinsterhood,0.5588401556015015,649.0
50,12919,12919,marital_status,widowhood,649,True,0.5662341959651708,1,marital_statuswidowhood649,marital_status,widowhood,0.6593737602233887,649.0
51,12920,12920,disorder,anarchy,650,True,0.6822705054380258,1,disorderanarchy650,disorder,anarchy,0.8083312511444092,650.0
52,12921,12921,anarchy,nihilism,650,True,0.3559145109575341,1,anarchynihilism650,,,,
53,12922,12922,disorder,confusion,650,True,0.814019516353034,1,disorderconfusion650,disorder,confusion,0.8651520013809204,650.0
54,12923,12923,confusion,bluster,650,True,0.5163495665917087,1,confusionbluster650,,,,
55,12924,12924,confusion,chaos,650,True,0.6719230190255437,1,confusionchaos650,,,,
56,12925,12925,chaos,balagan,650,True,0.6124860052591862,1,chaosbalagan650,,,,
57,12926,12926,confusion,demoralization,650,True,0.5501927268093235,1,confusiondemoralization650,,,,
58,12927,12927,confusion,hugger-mugger,650,True,0.5701352208215519,1,confusionhugger-mugger650,,,,
59,12928,12928,confusion,schemozzle,650,True,0.628056472071382,1,confusionschemozzle650,,,,
60,12929,12929,disorder,discord,650,True,0.9020400677844618,1,disorderdiscord650,disorder,discord,0.9498432278633118,650.0
61,12930,12930,disorder,disturbance,650,True,0.8047842858399268,1,disorderdisturbance650,disorder,disturbance,0.9317554235458374,650.0
62,12931,12931,disturbance,convulsion,650,True,0.6991895759930983,1,disturbanceconvulsion650,disturbance,convulsion,0.9275932312011719,650.0
63,12932,12932,disturbance,earthquake,650,True,0.7337818125130235,1,disturbanceearthquake650,disturbance,earthquake,0.8848809003829956,650.0
64,12933,12933,disturbance,incident,650,True,0.6894584873586646,1,disturbanceincident650,disturbance,incident,0.8018486499786377,650.0
65,12934,12934,disturbance,stir,650,True,0.7852169837100879,1,disturbancestir650,disturbance,stir,0.8517142534255981,650.0
66,12935,12935,disturbance,storm,650,True,0.8388847927479987,1,disturbancestorm650,disturbance,storm,0.9606782793998718,650.0
67,12936,12936,disturbance,storm_center,650,True,0.8150436923907773,1,disturbancestorm_center650,disturbance,storm_center,0.9441713094711304,650.0
68,12937,12937,disturbance,tumult,650,True,0.7760606468577032,1,disturbancetumult650,disturbance,tumult,0.8969921469688416,650.0
69,12938,12938,tumult,combustion,650,True,0.3310301794540635,1,tumultcombustion650,,,,
70,12939,12939,disorder,instability,650,True,0.7752484345374245,1,disorderinstability650,disorder,instability,0.9073138236999512,650.0
71,12940,12940,disorder,rioting,650,True,0.7650573398391902,1,disorderrioting650,,,,
72,12941,12941,disorder,rowdiness,650,True,0.7180617636032429,1,disorderrowdiness650,disorder,rowdiness,0.8998590707778931,650.0
73,12942,12942,disorder,turbulence,650,True,0.6706676973754189,1,disorderturbulence650,,,,
74,12943,12943,turbulence,agitation,650,True,0.6220686521030556,1,turbulenceagitation650,,,,
75,12944,12944,turbulence,roller_coaster,650,True,0.5735516069673908,1,turbulenceroller_coaster650,,,,
76,12945,12945,turbulence,violence,650,True,0.7412950306227413,1,turbulenceviolence650,,,,
77,12946,12946,violence,rage,650,True,0.9163333755740304,1,violencerage650,violence,rage,0.9050542116165161,650.0
78,12947,12947,emotional_state,ecstasy,651,True,0.8808095401531573,1,emotional_stateecstasy651,emotional_state,ecstasy,0.9263986945152283,651.0
79,12948,12948,emotional_state,embarrassment,651,True,0.7484765409082438,1,emotional_stateembarrassment651,emotional_state,embarrassment,0.7949758768081665,651.0
80,12949,12949,emotional_state,gratification,651,True,0.7340564763935926,1,emotional_stategratification651,emotional_state,gratification,0.7319404482841492,651.0
81,12950,12950,gratification,comfort,651,True,0.7789021733322365,1,gratificationcomfort651,gratification,comfort,0.636065661907196,651.0
82,12951,12951,gratification,quality_of_life,651,True,0.7598631715117438,1,gratificationquality_of_life651,,,,
83,12952,12952,emotional_state,happiness,651,True,0.839220685695901,1,emotional_statehappiness651,emotional_state,happiness,0.8318268060684204,651.0
84,12953,12953,happiness,blessedness,651,True,0.6990552736643237,1,happinessblessedness651,,,,
85,12954,12954,blessedness,nirvana,651,True,0.4959691378271964,1,blessednessnirvana651,,,,
86,12955,12955,happiness,radiance,651,True,0.6069233940645471,1,happinessradiance651,,,,
87,12956,12956,emotional_state,state,651,True,0.7180791415058785,1,emotional_statestate651,emotional_state,state,0.7110109925270081,651.0
88,12957,12957,emotional_state,unhappiness,651,True,0.8307168435287698,1,emotional_stateunhappiness651,emotional_state,unhappiness,0.8733344674110413,651.0
89,12958,12958,unhappiness,embitterment,651,True,0.6614329801483612,1,unhappinessembitterment651,unhappiness,embitterment,0.7605559229850769,651.0
90,12959,12959,unhappiness,sadness,651,True,0.6730222798734394,1,unhappinesssadness651,unhappiness,sadness,0.7397627234458923,651.0
91,12960,12960,sadness,mourning,651,True,0.6988841042681578,1,sadnessmourning651,sadness,mourning,0.805397093296051,651.0
92,12961,12961,sadness,poignance,651,True,0.4378589673532455,1,sadnesspoignance651,,,,
93,12962,12962,dysplasia,anaplasia,652,True,0.2756304322484021,1,dysplasiaanaplasia652,,,,
94,12963,12963,dysplasia,aplasia,652,True,0.2464403690286488,1,dysplasiaaplasia652,,,,
95,12964,12964,dysplasia,fibrous_dysplasia_of_bone,652,True,0.4228765848059549,1,dysplasiafibrous_dysplasia_of_bone652,dysplasia,fibrous_dysplasia_of_bone,0.8064212203025818,652.0
96,12965,12965,fibrous_dysplasia_of_bone,Albright's_disease,652,True,0.4349314914746773,1,fibrous_dysplasia_of_boneAlbright's_disease652,,,,
97,12966,12966,fibrous_dysplasia_of_bone,monostotic_fibrous_dysplasia,652,True,0.6282334804685756,1,fibrous_dysplasia_of_bonemonostotic_fibrous_dysplasia652,fibrous_dysplasia_of_bone,monostotic_fibrous_dysplasia,0.4844174087047577,652.0
98,12967,12967,dysplasia,hyperplasia,652,True,0.3246368441302284,1,dysplasiahyperplasia652,dysplasia,hyperplasia,0.2541544437408447,652.0
99,12968,12968,hyperplasia,benign_prostatic_hyperplasia,652,True,0.632867230195074,1,hyperplasiabenign_prostatic_hyperplasia652,hyperplasia,benign_prostatic_hyperplasia,0.9537498950958252,652.0
100,12969,12969,dysplasia,hypertrophy,652,True,0.1920250070692595,1,dysplasiahypertrophy652,,,,
101,12970,12970,hypertrophy,acromegaly,652,True,0.3052152648371798,1,hypertrophyacromegaly652,,,,
102,12971,12971,hypertrophy,adenomegaly,652,True,0.3243605872659564,1,hypertrophyadenomegaly652,hypertrophy,adenomegaly,0.42794981598854065,652.0
103,12972,12972,hypertrophy,cor_pulmonale,652,True,0.133011883081756,1,hypertrophycor_pulmonale652,hypertrophy,cor_pulmonale,0.23736590147018433,652.0
104,12973,12973,hypertrophy,dactylomegaly,652,True,0.2455274207731788,1,hypertrophydactylomegaly652,hypertrophy,dactylomegaly,0.39003363251686096,652.0
105,12974,12974,hypertrophy,elephantiasis,652,True,0.2367652874313355,1,hypertrophyelephantiasis652,hypertrophy,elephantiasis,0.3264245390892029,652.0
106,12975,12975,elephantiasis,elephantiasis_neuromatosa,652,True,0.2488888934106571,1,elephantiasiselephantiasis_neuromatosa652,elephantiasis,elephantiasis_neuromatosa,0.506711483001709,652.0
107,12976,12976,elephantiasis,elephantiasis_scroti,652,True,0.1938595586124842,1,elephantiasiselephantiasis_scroti652,elephantiasis,elephantiasis_scroti,0.5194171071052551,652.0
108,12977,12977,elephantiasis,nevoid_elephantiasis,652,True,0.4078610663037447,1,elephantiasisnevoid_elephantiasis652,elephantiasis,nevoid_elephantiasis,0.7400535941123962,652.0
109,12978,12978,hypertrophy,giantism,652,True,0.3279224033100723,1,hypertrophygiantism652,hypertrophy,giantism,0.2617132067680359,652.0
110,12979,12979,hypertrophy,splenomegaly,652,True,0.3020169346477043,1,hypertrophysplenomegaly652,hypertrophy,splenomegaly,0.4460124373435974,652.0
111,12980,12980,dysplasia,hypoplasia,652,True,0.325981822395316,1,dysplasiahypoplasia652,,,,
112,12981,12981,anesthesia,conduction_anesthesia,653,True,0.8467926854395893,1,anesthesiaconduction_anesthesia653,anesthesia,conduction_anesthesia,0.9712426066398621,653.0
113,12982,12982,anesthesia,cryoanesthesia,653,True,0.7975011226840752,1,anesthesiacryoanesthesia653,anesthesia,cryoanesthesia,0.9136636257171631,653.0
114,12983,12983,anesthesia,general_anesthesia,653,True,0.8810774507701793,1,anesthesiageneral_anesthesia653,anesthesia,general_anesthesia,0.9798305034637451,653.0
115,12984,12984,general_anesthesia,inhalation_anesthesia,653,True,0.6490933706464027,1,general_anesthesiainhalation_anesthesia653,,,,
116,12985,12985,general_anesthesia,twilight_sleep,653,True,0.4528445248908194,1,general_anesthesiatwilight_sleep653,general_anesthesia,twilight_sleep,0.35072916746139526,653.0
117,12986,12986,anesthesia,local_anesthesia,653,True,0.8805730498593335,1,anesthesialocal_anesthesia653,anesthesia,local_anesthesia,0.9806530475616455,653.0
118,12987,12987,anesthesia,regional_anesthesia,653,True,0.8970457639173749,1,anesthesiaregional_anesthesia653,anesthesia,regional_anesthesia,0.9805087447166443,653.0
119,12988,12988,regional_anesthesia,acroanesthesia,653,True,0.7139873000738857,1,regional_anesthesiaacroanesthesia653,regional_anesthesia,acroanesthesia,0.7299786806106567,653.0
120,12989,12989,regional_anesthesia,caudal_anesthesia,653,True,0.6743750519327804,1,regional_anesthesiacaudal_anesthesia653,regional_anesthesia,caudal_anesthesia,0.7271677255630493,653.0
121,12990,12990,regional_anesthesia,epidural_anesthesia,653,True,0.7030814944801208,1,regional_anesthesiaepidural_anesthesia653,regional_anesthesia,epidural_anesthesia,0.7790911793708801,653.0
122,12991,12991,regional_anesthesia,paracervical_block,653,True,0.6471640273493872,1,regional_anesthesiaparacervical_block653,regional_anesthesia,paracervical_block,0.5035272836685181,653.0
123,12992,12992,regional_anesthesia,pudendal_block,653,True,0.6056427508544693,1,regional_anesthesiapudendal_block653,regional_anesthesia,pudendal_block,0.44828805327415466,653.0
124,12993,12993,regional_anesthesia,spinal_anesthesia,653,True,0.6752004309353646,1,regional_anesthesiaspinal_anesthesia653,regional_anesthesia,spinal_anesthesia,0.7120091319084167,653.0
125,12994,12994,spinal_anesthesia,saddle_block_anesthesia,653,True,0.3906103944412637,1,spinal_anesthesiasaddle_block_anesthesia653,,,,
126,12995,12995,anesthesia,topical_anesthesia,653,True,0.8877863028037547,1,anesthesiatopical_anesthesia653,anesthesia,topical_anesthesia,0.9817255139350891,653.0
127,12996,12996,dysfunction,erectile_dysfunction,654,True,0.8606952363788519,1,dysfunctionerectile_dysfunction654,dysfunction,erectile_dysfunction,0.9836020469665527,654.0
128,12997,12997,dysfunction,paralysis,654,True,0.5742502244325364,1,dysfunctionparalysis654,dysfunction,paralysis,0.6791501045227051,654.0
129,12998,12998,paralysis,akinesis,654,True,0.6953384760328938,1,paralysisakinesis654,paralysis,akinesis,0.5594387054443359,654.0
130,12999,12999,paralysis,alalia,654,True,0.6232390613637215,1,paralysisalalia654,paralysis,alalia,0.6767014861106873,654.0
131,13000,13000,paralysis,cystoplegia,654,True,0.7499672631959439,1,paralysiscystoplegia654,paralysis,cystoplegia,0.8937056660652161,654.0
132,13001,13001,paralysis,diplegia,654,True,0.7012009114492688,1,paralysisdiplegia654,paralysis,diplegia,0.8073047399520874,654.0
133,13002,13002,paralysis,Erb's_palsy,654,True,0.565326016940879,1,paralysisErb's_palsy654,paralysis,Erb's_palsy,0.8032106161117554,654.0
134,13003,13003,paralysis,hemiplegia,654,True,0.8173407220361609,1,paralysishemiplegia654,paralysis,hemiplegia,0.9257782101631165,654.0
135,13004,13004,paralysis,monoplegia,654,True,0.7240839468194136,1,paralysismonoplegia654,paralysis,monoplegia,0.8356981873512268,654.0
136,13005,13005,paralysis,ophthalmoplegia,654,True,0.814007813487207,1,paralysisophthalmoplegia654,paralysis,ophthalmoplegia,0.9275751113891602,654.0
137,13006,13006,paralysis,paraplegia,654,True,0.8247911482881075,1,paralysisparaplegia654,paralysis,paraplegia,0.9365133047103882,654.0
138,13007,13007,paralysis,paresis,654,True,0.6561746357175591,1,paralysisparesis654,paralysis,paresis,0.9130545258522034,654.0
139,13008,13008,paresis,paraparesis,654,True,0.2961440557098376,1,paresisparaparesis654,paresis,paraparesis,0.7098436951637268,654.0
140,13009,13009,paralysis,quadriplegia,654,True,0.8218396623635206,1,paralysisquadriplegia654,paralysis,quadriplegia,0.8872219324111938,654.0
141,13010,13010,good_health,bloom,655,True,0.4721885628351233,1,good_healthbloom655,,,,
142,13011,13011,good_health,condition,655,True,0.5878869590624031,1,good_healthcondition655,good_health,condition,0.34384599328041077,655.0
143,13012,13012,condition,fitness,655,True,0.9317658578485284,1,conditionfitness655,condition,fitness,0.9144230484962463,655.0
144,13013,13013,fitness,fettle,655,True,0.8556516417386234,1,fitnessfettle655,fitness,fettle,0.8887685537338257,655.0
145,13014,13014,good_health,energy,655,True,0.6003952320671274,1,good_healthenergy655,,,,
146,13015,13015,energy,juice,655,True,0.8801795659810049,1,energyjuice655,energy,juice,0.9406296014785767,655.0
147,13016,13016,energy,qi,655,True,0.8612598619477078,1,energyqi655,energy,qi,0.8553269505500793,655.0
148,13017,13017,good_health,freshness,655,True,0.534247779289183,1,good_healthfreshness655,,,,
149,13018,13018,good_health,radiance,655,True,0.4906713601409155,1,good_healthradiance655,,,,
150,13019,13019,good_health,sturdiness,655,True,0.5451705480235096,1,good_healthsturdiness655,,,,
151,13020,13020,good_health,wholeness,655,True,0.4903929817490434,1,good_healthwholeness655,,,,
152,13021,13021,respiratory_disease,adult_respiratory_distress_syndrome,656,True,0.8320952411828585,1,respiratory_diseaseadult_respiratory_distress_syndrome656,respiratory_disease,adult_respiratory_distress_syndrome,0.9567930102348328,656.0
153,13022,13022,respiratory_disease,asthma,656,True,0.880637037940601,1,respiratory_diseaseasthma656,respiratory_disease,asthma,0.9297824501991272,656.0
154,13023,13023,asthma,status_asthmaticus,656,True,0.5269237199393174,1,asthmastatus_asthmaticus656,asthma,status_asthmaticus,0.5704282522201538,656.0
155,13024,13024,respiratory_disease,atypical_pneumonia,656,True,0.8791949638125334,1,respiratory_diseaseatypical_pneumonia656,respiratory_disease,atypical_pneumonia,0.9533166885375977,656.0
156,13025,13025,atypical_pneumonia,psittacosis,656,True,0.3493769879515491,1,atypical_pneumoniapsittacosis656,,,,
157,13026,13026,respiratory_disease,bronchitis,656,True,0.8774240111715381,1,respiratory_diseasebronchitis656,respiratory_disease,bronchitis,0.9580365419387817,656.0
158,13027,13027,bronchitis,bronchiolitis,656,True,0.4647864533191089,1,bronchitisbronchiolitis656,bronchitis,bronchiolitis,0.7291609048843384,656.0
159,13028,13028,bronchitis,chronic_bronchitis,656,True,0.5757362981694105,1,bronchitischronic_bronchitis656,bronchitis,chronic_bronchitis,0.8802422881126404,656.0
160,13029,13029,chronic_bronchitis,chronic_obstructive_pulmonary_disease,656,True,0.2836976979544321,1,chronic_bronchitischronic_obstructive_pulmonary_disease656,,,,
161,13030,13030,respiratory_disease,cold,656,True,0.778683625891435,1,respiratory_diseasecold656,respiratory_disease,cold,0.6592803597450256,656.0
162,13031,13031,cold,head_cold,656,True,0.765489224358557,1,coldhead_cold656,cold,head_cold,0.70926433801651,656.0
163,13032,13032,respiratory_disease,emphysema,656,True,0.8172360131805728,1,respiratory_diseaseemphysema656,respiratory_disease,emphysema,0.8930575847625732,656.0
164,13033,13033,emphysema,chronic_obstructive_pulmonary_disease,656,True,0.335262125327529,1,emphysemachronic_obstructive_pulmonary_disease656,emphysema,chronic_obstructive_pulmonary_disease,0.16576029360294342,656.0
165,13034,13034,respiratory_disease,influenza,656,True,0.9062942602640662,1,respiratory_diseaseinfluenza656,respiratory_disease,influenza,0.9353137016296387,656.0
166,13035,13035,influenza,Asian_influenza,656,True,0.8699697358331658,1,influenzaAsian_influenza656,influenza,Asian_influenza,0.9633763432502747,656.0
