,parent,child,weight,group,compare
0,dominion,paramountcy,0.7655054926872253,647,dominionparamountcy647
1,dominion,raj,0.6257954239845276,647,dominionraj647
2,dominion,reign,0.6557471752166748,647,dominionreign647
3,dominion,suzerainty,0.6341830492019653,647,dominionsuzerainty647
4,domination,transcendence,0.7078732848167419,647,dominationtranscendence647
5,dominance,absolutism,0.7271658182144165,647,dominanceabsolutism647
6,dominance,dominion,0.7180667519569397,647,dominancedominion647
7,dominance,domination,0.751299262046814,647,dominancedomination647
8,dominance,predominance,0.7132375836372375,647,dominancepredominance647
9,dominance,ascendant,0.744396448135376,647,dominanceascendant647
10,predominance,monopoly,0.701433539390564,647,predominancemonopoly647
11,predominance,scepter,0.6523359417915344,647,predominancescepter647
12,predominance,regulation,0.7382375597953796,647,predominanceregulation647
13,need,necessity,0.7907662391662598,648,neednecessity648
14,lack,absence,0.6164788007736206,648,lackabsence648
15,necessity,mineral_deficiency,0.7074654698371887,648,necessitymineral_deficiency648
16,necessity,deficit,0.6972138285636902,648,necessitydeficit648
17,necessity,sideropenia,0.7260298132896423,648,necessitysideropenia648
18,necessity,awayness,0.7711115479469299,648,necessityawayness648
19,necessity,lack,0.7130610346794128,648,necessitylack648
20,necessity,nonoccurrence,0.7050363421440125,648,necessitynonoccurrence648
21,necessity,shortness,0.812069833278656,648,necessityshortness648
22,necessity,dearth,0.7159781455993652,648,necessitydearth648
23,necessity,stringency,0.658675491809845,648,necessitystringency648
24,necessity,requisiteness,0.7716192007064819,648,necessityrequisiteness648
25,necessity,urgency,0.5497903227806091,648,necessityurgency648
26,criticality,hurry,0.49701598286628723,648,criticalityhurry648
27,stringency,imperativeness,0.6060632467269897,648,stringencyimperativeness648
28,stringency,criticality,0.6579588055610657,648,stringencycriticality648
29,misalliance,mesalliance,0.4018356204032898,649,misalliancemesalliance649
30,marital_status,bachelorhood,0.5369467735290527,649,marital_statusbachelorhood649
31,marital_status,civil_union,0.581171452999115,649,marital_statuscivil_union649
32,marital_status,marriage,0.6729742884635925,649,marital_statusmarriage649
33,marital_status,spinsterhood,0.545405387878418,649,marital_statusspinsterhood649
34,marital_status,widowhood,0.5554073452949524,649,marital_statuswidowhood649
35,marriage,bigamy,0.5857508778572083,649,marriagebigamy649
36,marriage,common-law_marriage,0.8729066848754883,649,marriagecommon-law_marriage649
37,marriage,cuckoldom,0.5489495396614075,649,marriagecuckoldom649
38,marriage,endogamy,0.6279444098472595,649,marriageendogamy649
39,marriage,exogamy,0.49132829904556274,649,marriageexogamy649
40,marriage,marriage_of_convenience,0.7250111699104309,649,marriagemarriage_of_convenience649
41,marriage,misalliance,0.5323289632797241,649,marriagemisalliance649
42,marriage,monandry,0.5959761142730713,649,marriagemonandry649
43,marriage,monogamy,0.7501237988471985,649,marriagemonogamy649
44,marriage,open_marriage,0.7908815741539001,649,marriageopen_marriage649
45,marriage,polygamy,0.7316255569458008,649,marriagepolygamy649
46,marriage,sigeh,0.4975069463253021,649,marriagesigeh649
47,polygamy,polyandry,0.47249138355255127,649,polygamypolyandry649
48,polygamy,polygyny,0.5077122449874878,649,polygamypolygyny649
49,monogamy,monogyny,0.49553927779197693,649,monogamymonogyny649
50,monogamy,serial_monogamy,0.6071998476982117,649,monogamyserial_monogamy649
51,disorder,confusion,0.7713724970817566,650,disorderconfusion650
52,disorder,discord,0.8693094253540039,650,disorderdiscord650
53,disorder,disturbance,0.7436835765838623,650,disorderdisturbance650
54,disturbance,nihilism,0.8225999474525452,650,disturbancenihilism650
55,disturbance,rioting,0.8308626413345337,650,disturbancerioting650
56,disturbance,chaos,0.775001585483551,650,disturbancechaos650
57,disturbance,schemozzle,0.7250052690505981,650,disturbanceschemozzle650
58,disturbance,demoralization,0.7363417148590088,650,disturbancedemoralization650
59,disturbance,bluster,0.6440290212631226,650,disturbancebluster650
60,disturbance,instability,0.745771586894989,650,disturbanceinstability650
61,disturbance,turbulence,0.7082735896110535,650,disturbanceturbulence650
62,disturbance,violence,0.8225529193878174,650,disturbanceviolence650
63,disturbance,rowdiness,0.7634310722351074,650,disturbancerowdiness650
64,disturbance,balagan,0.7172909379005432,650,disturbancebalagan650
65,disturbance,agitation,0.7145315408706665,650,disturbanceagitation650
66,disturbance,roller_coaster,0.6686356663703918,650,disturbanceroller_coaster650
67,disturbance,anarchy,0.7470581531524658,650,disturbanceanarchy650
68,disturbance,hugger-mugger,0.7458929419517517,650,disturbancehugger-mugger650
69,disturbance,convulsion,0.6165274381637573,650,disturbanceconvulsion650
70,disturbance,earthquake,0.641181230545044,650,disturbanceearthquake650
71,disturbance,incident,0.6328466534614563,650,disturbanceincident650
72,disturbance,stir,0.7308923602104187,650,disturbancestir650
73,disturbance,storm,0.7562352418899536,650,disturbancestorm650
