,parent,child,group,flag
0,space,mathematical_space,0,TRUE
1,mathematical_space,manifold,0,TRUE
2,mathematical_space,metric_space,0,TRUE
3,metric_space,Euclidean_space,0,TRUE
4,metric_space,Hilbert_space,0,TRUE
5,mathematical_space,null_space,0,TRUE
6,mathematical_space,subspace,0,TRUE
7,space,outer_space,0,TRUE
8,space,phase_space,0,TRUE
9,phase_space,dynamical_system,0,TRUE
10,dynamical_system,chaos,0,TRUE
11,interaction,contact,1,TRUE
12,contact,brush,1,TRUE
13,contact,eye_contact,1,TRUE
14,contact,placement,1,TRUE
15,interaction,interchange,1,TRUE
16,interchange,cross-fertilization,1,TRUE
17,interchange,dealings,1,TRUE
18,dealings,relation,1,TRUE
19,interchange,reciprocity,1,TRUE
20,interaction,interplay,1,TRUE
21,maneuver,clinch,2,TRUE
22,maneuver,flight_maneuver,2,TRUE
23,flight_maneuver,bank,2,TRUE
24,bank,vertical_bank,2,TRUE
25,flight_maneuver,chandelle,2,TRUE
26,flight_maneuver,loop,2,TRUE
27,loop,inside_loop,2,TRUE
28,loop,outside_loop,2,TRUE
29,flight_maneuver,roll,2,TRUE
30,roll,barrel_roll,2,TRUE
31,roll,snap_roll,2,TRUE
32,flight_maneuver,slip,2,TRUE
33,maneuver,straight-arm,2,TRUE
34,success,bell_ringer,3,TRUE
35,success,conquest,3,TRUE
36,success,coup,3,TRUE
37,success,flying_colors,3,TRUE
38,success,hit,3,TRUE
39,hit,blockbuster,3,TRUE
40,hit,sleeper,3,TRUE
41,success,overturn,3,TRUE
42,success,passing,3,TRUE
43,success,score,3,TRUE
44,score,basket,3,TRUE
45,score,break,3,TRUE
46,score,bull's_eye,3,TRUE
47,score,conversion,3,TRUE
48,conversion,point_after,3,TRUE
49,score,equalizer,3,TRUE
50,score,field_goal,3,TRUE
51,score,goal,3,TRUE
52,goal,own_goal,3,TRUE
53,score,hat_trick,3,TRUE
54,score,open_frame,3,TRUE
55,score,run,3,TRUE
56,run,earned_run,3,TRUE
57,run,run_batted_in,3,TRUE
58,run,unearned_run,3,TRUE
59,score,safety,3,TRUE
60,score,spare,3,TRUE
61,score,strike,3,TRUE
62,score,touchdown,3,TRUE
63,success,seduction,3,TRUE
64,seduction,sexual_conquest,3,TRUE
65,sexual_conquest,cuckoldry,3,TRUE
66,success,solution,3,TRUE
67,success,winning,3,TRUE
68,failure,breach,4,TRUE
69,breach,breach_of_contract,4,TRUE
70,breach_of_contract,anticipatory_breach,4,TRUE
71,breach_of_contract,breach_of_promise,4,TRUE
72,breach_of_contract,breach_of_the_covenant_of_warranty,4,TRUE
73,breach_of_contract,breach_of_trust,4,TRUE
74,breach_of_contract,breach_of_warranty,4,TRUE
75,breach_of_contract,material_breach,4,TRUE
76,breach_of_contract,partial_breach,4,TRUE
77,breach,breach_of_duty,4,TRUE
78,failure,copout,4,TRUE
79,failure,disappointment,4,TRUE
80,larceny,biopiracy,5,TRUE
81,larceny,breach_of_trust_with_fraudulent_intent,5,TRUE
82,larceny,embezzlement,5,TRUE
83,embezzlement,plunderage,5,TRUE
84,embezzlement,raid,5,TRUE
85,larceny,grand_larceny,5,TRUE
86,larceny,petit_larceny,5,TRUE
87,larceny,pilferage,5,TRUE
88,larceny,robbery,5,TRUE
89,robbery,armed_robbery,5,TRUE
90,robbery,caper,5,TRUE
91,robbery,dacoity,5,TRUE
92,robbery,heist,5,TRUE
93,robbery,highjacking,5,TRUE
94,highjacking,piracy,5,TRUE
95,robbery,highway_robbery,5,TRUE
96,robbery,rolling,5,TRUE
97,larceny,rustling,5,TRUE
98,larceny,shoplifting,5,TRUE
99,larceny,skimming,5,TRUE
100,tennis_stroke,return,6,TRUE
101,return,backhand,6,TRUE
102,backhand,two-handed_backhand,6,TRUE
103,return,chop,6,TRUE
104,return,drive,6,TRUE
105,drive,backhand_drive,6,TRUE
106,drive,forehand_drive,6,TRUE
107,return,drop_shot,6,TRUE
108,return,forehand,6,TRUE
109,return,get,6,TRUE
110,return,ground_stroke,6,TRUE
111,return,half_volley,6,TRUE
112,return,lob,6,TRUE
113,return,overhead,6,TRUE
114,return,passing_shot,6,TRUE
115,return,volley,6,TRUE
116,tennis_stroke,serve,6,TRUE
117,serve,ace,6,TRUE
118,serve,fault,6,TRUE
119,fault,double_fault,6,TRUE
120,fault,footfault,6,TRUE
121,serve,let,6,TRUE
122,appropriation,borrowing,7,TRUE
123,borrowing,crossover,7,TRUE
124,borrowing,misappropriation,7,TRUE
125,borrowing,naturalization,7,TRUE
126,appropriation,preemption,7,TRUE
127,appropriation,seizure,7,TRUE
128,seizure,confiscation,7,TRUE
129,confiscation,expropriation,7,TRUE
130,seizure,distress,7,TRUE
131,seizure,impoundment,7,TRUE
132,impoundment,drug_bust,7,TRUE
133,seizure,impress,7,TRUE
134,seizure,recapture,7,TRUE
135,appropriation,sequestration,7,TRUE
136,allotment,deal,8,TRUE
137,deal,new_deal,8,TRUE
138,allotment,grant,8,TRUE
139,grant,award,8,TRUE
140,award,addiction,8,TRUE
141,grant,block_grant,8,TRUE
142,grant,grant-in-aid,8,TRUE
143,allotment,parcel,8,TRUE
144,allotment,rationing,8,TRUE
145,allotment,reallotment,8,TRUE
146,reallotment,reshuffle,8,TRUE
147,proceeding,adoption,9,TRUE
148,proceeding,appeal,9,TRUE
149,proceeding,bankruptcy,9,TRUE
150,proceeding,foreclosure,9,TRUE
151,proceeding,hearing,9,TRUE
152,hearing,administrative_hearing,9,TRUE
153,hearing,competence_hearing,9,TRUE
154,hearing,fair_hearing,9,TRUE
155,hearing,quo_warranto,9,TRUE
156,proceeding,intervention,9,TRUE
157,proceeding,lawsuit,9,TRUE
158,lawsuit,civil_suit,9,TRUE
159,lawsuit,class_action,9,TRUE
160,lawsuit,countersuit,9,TRUE
161,lawsuit,criminal_suit,9,TRUE
162,lawsuit,moot,9,TRUE
163,lawsuit,paternity_suit,9,TRUE
164,proceeding,legal_action,9,TRUE
165,legal_action,antitrust_case,9,TRUE
166,legal_action,civil_action,9,TRUE
167,legal_action,counterclaim,9,TRUE
168,legal_action,custody_case,9,TRUE
169,legal_action,lis_pendens,9,TRUE
170,legal_action,prosecution,9,TRUE
171,prosecution,double_jeopardy,9,TRUE
172,legal_action,test_case,9,TRUE
173,proceeding,litigation,9,TRUE
174,litigation,custody_battle,9,TRUE
175,litigation,vexatious_litigation,9,TRUE
176,proceeding,naturalization,9,TRUE
177,proceeding,procedure,9,TRUE
178,procedure,bureaucratic_procedure,9,TRUE
179,procedure,objection,9,TRUE
180,objection,recusation,9,TRUE
181,proceeding,receivership,9,TRUE
182,proceeding,review,9,TRUE
183,review,bill_of_review,9,TRUE
184,review,judicial_review,9,TRUE
185,proceeding,trial,9,TRUE
186,trial,court-martial,9,TRUE
187,trial,mistrial,9,TRUE
188,trial,ordeal,9,TRUE
189,trial,retrial,9,TRUE
190,trial,Scopes_trial,9,TRUE
191,trial,show_trial,9,TRUE
192,liberation,clearing,10,TRUE
193,clearing,purge,10,TRUE
194,purge,purification,10,TRUE
195,clearing,vindication,10,TRUE
196,vindication,justification,10,TRUE
197,vindication,rehabilitation,10,TRUE
198,clearing,whitewash,10,TRUE
199,liberation,deregulation,10,TRUE
200,liberation,emancipation,10,TRUE
201,liberation,jail_delivery,10,TRUE
202,liberation,manumission,10,TRUE
203,liberation,parole,10,TRUE
204,liberation,probation,10,TRUE
205,liberation,relief,10,TRUE
206,liberation,unsnarling,10,TRUE
207,implementation,instrumentation,11,TRUE
208,implementation,invocation,11,TRUE
209,implementation,means,11,TRUE
210,means,desperate_measure,11,TRUE
211,means,dint,11,TRUE
212,means,escape,11,TRUE
213,means,expedient,11,TRUE
214,expedient,crutch,11,TRUE
215,expedient,improvisation,11,TRUE
216,expedient,makeshift,11,TRUE
217,expedient,pis_aller,11,TRUE
218,means,fast_track,11,TRUE
219,means,instrument,11,TRUE
220,means,open_sesame,11,TRUE
221,means,road,11,TRUE
222,road,royal_road,11,TRUE
223,means,salvation,11,TRUE
224,means,stepping_stone,11,TRUE
225,means,tooth,11,TRUE
226,means,voice,11,TRUE
227,means,wings,11,TRUE
228,implementation,motorization,11,TRUE
229,implementation,practice,11,TRUE
230,technology,aeronautical_engineering,12,TRUE
231,technology,automotive_technology,12,TRUE
232,technology,chemical_engineering,12,TRUE
233,technology,communications_technology,12,TRUE
234,communications_technology,digital_communications_technology,12,TRUE
235,technology,computer_technology,12,TRUE
236,technology,high_technology,12,TRUE
237,high_technology,automation,12,TRUE
238,automation,computerization,12,TRUE
239,technology,rail_technology,12,TRUE
240,rail_technology,magnetic_levitation,12,TRUE
241,shot,basketball_shot,13,TRUE
242,basketball_shot,bank_shot,13,TRUE
243,basketball_shot,dunk,13,TRUE
244,dunk,slam_dunk,13,TRUE
245,basketball_shot,finger-roll,13,TRUE
246,basketball_shot,foul_shot,13,TRUE
247,foul_shot,one-and-one,13,TRUE
248,basketball_shot,hook_shot,13,TRUE
249,basketball_shot,jumper,13,TRUE
250,basketball_shot,lay-up,13,TRUE
251,basketball_shot,pivot_shot,13,TRUE
252,basketball_shot,scoop_shot,13,TRUE
253,basketball_shot,set_shot,13,TRUE
254,basketball_shot,tip_in,13,TRUE
255,shot,headshot,13,TRUE
256,shot,slapshot,13,TRUE
257,banishment,anathematization,14,TRUE
258,banishment,disbarment,14,TRUE
259,banishment,ejection,14,TRUE
260,ejection,barring,14,TRUE
261,ejection,defenestration,14,TRUE
262,ejection,deportation,14,TRUE
263,ejection,ostracism,14,TRUE
264,ejection,ouster,14,TRUE
265,ouster,deposition,14,TRUE
266,banishment,excommunication,14,TRUE
267,banishment,exile,14,TRUE
268,banishment,relegation,14,TRUE
269,banishment,rustication,14,TRUE
270,reflex,accommodation_reflex,15,TRUE
271,reflex,Babinski,15,TRUE
272,reflex,belch,15,TRUE
273,reflex,blink,15,TRUE
274,blink,palpebration,15,TRUE
275,reflex,blush,15,TRUE
276,reflex,defecation_reflex,15,TRUE
