Unnamed: 0,parent,child,group,type
0,Discrete mathematics,Combinatorics,10002950_1,val
1,Combinatorics,Combinatoric problems,10002950_1,val
2,Combinatorics,Permutations and combinations,10002950_1,val
3,Combinatorics,Combinatorial algorithms,10002950_1,val
4,Combinatorics,Generating functions,10002950_1,val
5,Combinatorics,Combinatorial optimization,10002950_1,val
6,Combinatorics,Combinatorics on words,10002950_1,val
7,Combinatorics,Enumeration,10002950_1,val
8,Discrete mathematics,Graph theory,10002950_1,val
9,Graph theory,Trees,10002950_1,val
10,Graph theory,Hypergraphs,10002950_1,val
11,Graph theory,Random graphs,10002950_1,val
12,Graph theory,Graph coloring,10002950_1,val
13,Graph theory,Paths and connectivity problems,10002950_1,val
14,Graph theory,Graph enumeration,10002950_1,val
15,Graph theory,Matchings and factors,10002950_1,val
16,Graph theory,Graphs and surfaces,10002950_1,val
17,Graph theory,Network flows,10002950_1,val
18,Graph theory,Spectra of graphs,10002950_1,val
19,Graph theory,Extremal graph theory,10002950_1,val
20,Graph theory,Matroids and greedoids,10002950_1,val
21,Graph theory,Graph algorithms,10002950_1,val
22,Graph theory,Approximation algorithms,10002950_1,val
23,Probability and statistics,Probabilistic representations,10002950_2,test
24,Probabilistic representations,Bayesian networks,10002950_2,test
25,Probabilistic representations,Markov networks,10002950_2,test
26,Probabilistic representations,Factor graphs,10002950_2,test
27,Probabilistic representations,Decision diagrams,10002950_2,test
28,Probabilistic representations,Equational models,10002950_2,test
29,Probabilistic representations,Causal networks,10002950_2,test
30,Probabilistic representations,Stochastic differential equations,10002950_2,test
31,Probabilistic representations,Nonparametric representations,10002950_2,test
32,Nonparametric representations,Kernel density estimators,10002950_2,test
33,Nonparametric representations,Spline models,10002950_2,test
34,Nonparametric representations,Bayesian nonparametric models,10002950_2,test
35,Probability and statistics,Probabilistic inference problems,10002950_2,test
36,Probabilistic inference problems,Maximum likelihood estimation,10002950_2,test
37,Probabilistic inference problems,Bayesian computation,10002950_2,test
38,Probabilistic inference problems,Computing most probable explanation,10002950_2,test
39,Probabilistic inference problems,Hypothesis testing and confidence interval computation,10002950_2,test
40,Probabilistic inference problems,Density estimation,10002950_2,test
41,Density estimation,Quantile regression,10002950_2,test
42,Probabilistic inference problems,Max marginal computation,10002950_2,test
43,Probability and statistics,Probabilistic reasoning algorithms,10002950_2,test
44,Probabilistic reasoning algorithms,Variable elimination,10002950_2,test
45,Probabilistic reasoning algorithms,Loopy belief propagation,10002950_2,test
46,Probabilistic reasoning algorithms,Variational methods,10002950_2,test
47,Probabilistic reasoning algorithms,Expectation maximization,10002950_2,test
48,Probabilistic reasoning algorithms,Markov-chain Monte Carlo methods,10002950_2,test
49,Markov-chain Monte Carlo methods,Gibbs sampling,10002950_2,test
