,parent,child,group,flag
0,space,absolute_space,0,TRUE
1,space,mathematical_space,0,TRUE
2,mathematical_space,manifold,0,TRUE
3,mathematical_space,metric_space,0,TRUE
4,metric_space,Euclidean_space,0,TRUE
5,metric_space,Hilbert_space,0,TRUE
6,mathematical_space,null_space,0,TRUE
7,mathematical_space,subspace,0,TRUE
8,space,outer_space,0,TRUE
9,space,phase_space,0,TRUE
10,phase_space,dynamical_system,0,TRUE
11,dynamical_system,chaos,0,TRUE
12,interaction,contact,1,TRUE
13,contact,brush,1,TRUE
14,contact,eye_contact,1,TRUE
15,contact,placement,1,TRUE
16,interaction,interchange,1,TRUE
17,interchange,cross-fertilization,1,TRUE
18,interchange,dealings,1,TRUE
19,dealings,relation,1,TRUE
20,interchange,reciprocity,1,TRUE
21,interaction,interplay,1,TRUE
22,maneuver,clinch,2,TRUE
23,maneuver,flight_maneuver,2,TRUE
24,flight_maneuver,bank,2,TRUE
25,bank,vertical_bank,2,TRUE
26,flight_maneuver,chandelle,2,TRUE
27,flight_maneuver,loop,2,TRUE
28,loop,inside_loop,2,TRUE
29,loop,outside_loop,2,TRUE
30,flight_maneuver,roll,2,TRUE
31,roll,barrel_roll,2,TRUE
32,roll,snap_roll,2,TRUE
33,flight_maneuver,slip,2,TRUE
34,maneuver,straight-arm,2,TRUE
35,success,bell_ringer,3,TRUE
36,success,conquest,3,TRUE
37,success,coup,3,TRUE
38,success,flying_colors,3,TRUE
39,success,hit,3,TRUE
40,hit,blockbuster,3,TRUE
41,hit,sleeper,3,TRUE
42,success,overturn,3,TRUE
43,success,passing,3,TRUE
44,success,score,3,TRUE
45,score,basket,3,TRUE
46,score,break,3,TRUE
47,score,bull's_eye,3,TRUE
48,score,conversion,3,TRUE
49,conversion,point_after,3,TRUE
50,score,equalizer,3,TRUE
51,score,field_goal,3,TRUE
52,score,goal,3,TRUE
53,goal,own_goal,3,TRUE
54,score,hat_trick,3,TRUE
55,score,open_frame,3,TRUE
56,score,run,3,TRUE
57,run,earned_run,3,TRUE
58,run,run_batted_in,3,TRUE
59,run,unearned_run,3,TRUE
60,score,safety,3,TRUE
61,score,spare,3,TRUE
62,score,strike,3,TRUE
63,score,touchdown,3,TRUE
64,success,seduction,3,TRUE
65,seduction,sexual_conquest,3,TRUE
66,sexual_conquest,cuckoldry,3,TRUE
67,success,solution,3,TRUE
68,success,winning,3,TRUE
69,failure,breach,4,TRUE
70,breach,breach_of_contract,4,TRUE
71,breach_of_contract,anticipatory_breach,4,TRUE
72,breach_of_contract,breach_of_promise,4,TRUE
73,breach_of_contract,breach_of_the_covenant_of_warranty,4,TRUE
74,breach_of_contract,breach_of_trust,4,TRUE
75,breach_of_contract,breach_of_warranty,4,TRUE
76,breach_of_contract,material_breach,4,TRUE
77,breach_of_contract,partial_breach,4,TRUE
78,breach,breach_of_duty,4,TRUE
79,failure,copout,4,TRUE
80,failure,disappointment,4,TRUE
81,larceny,biopiracy,5,TRUE
82,larceny,breach_of_trust_with_fraudulent_intent,5,TRUE
83,larceny,embezzlement,5,TRUE
84,embezzlement,plunderage,5,TRUE
85,embezzlement,raid,5,TRUE
86,larceny,grand_larceny,5,TRUE
87,larceny,petit_larceny,5,TRUE
88,larceny,pilferage,5,TRUE
89,larceny,robbery,5,TRUE
90,robbery,armed_robbery,5,TRUE
91,robbery,caper,5,TRUE
92,robbery,dacoity,5,TRUE
93,robbery,heist,5,TRUE
94,robbery,highjacking,5,TRUE
95,highjacking,piracy,5,TRUE
96,robbery,highway_robbery,5,TRUE
97,robbery,rolling,5,TRUE
98,larceny,rustling,5,TRUE
99,larceny,shoplifting,5,TRUE
100,larceny,skimming,5,TRUE
101,tennis_stroke,return,6,TRUE
102,return,backhand,6,TRUE
103,backhand,two-handed_backhand,6,TRUE
104,return,chop,6,TRUE
105,return,drive,6,TRUE
106,drive,backhand_drive,6,TRUE
107,drive,forehand_drive,6,TRUE
108,return,drop_shot,6,TRUE
109,return,forehand,6,TRUE
110,return,get,6,TRUE
111,return,ground_stroke,6,TRUE
112,return,half_volley,6,TRUE
113,return,lob,6,TRUE
114,return,overhead,6,TRUE
115,return,passing_shot,6,TRUE
116,return,volley,6,TRUE
117,tennis_stroke,serve,6,TRUE
118,serve,ace,6,TRUE
119,serve,fault,6,TRUE
120,fault,double_fault,6,TRUE
121,fault,footfault,6,TRUE
122,serve,let,6,TRUE
123,appropriation,borrowing,7,TRUE
124,borrowing,crossover,7,TRUE
125,borrowing,misappropriation,7,TRUE
126,borrowing,naturalization,7,TRUE
127,appropriation,preemption,7,TRUE
128,appropriation,seizure,7,TRUE
129,seizure,confiscation,7,TRUE
130,confiscation,expropriation,7,TRUE
131,seizure,distress,7,TRUE
132,seizure,impoundment,7,TRUE
133,impoundment,drug_bust,7,TRUE
134,seizure,impress,7,TRUE
135,seizure,recapture,7,TRUE
136,appropriation,sequestration,7,TRUE
137,allotment,deal,8,TRUE
138,deal,new_deal,8,TRUE
139,allotment,grant,8,TRUE
140,grant,award,8,TRUE
141,award,addiction,8,TRUE
142,grant,block_grant,8,TRUE
143,grant,grant-in-aid,8,TRUE
144,allotment,parcel,8,TRUE
145,allotment,rationing,8,TRUE
146,allotment,reallotment,8,TRUE
147,reallotment,reshuffle,8,TRUE
148,proceeding,adoption,9,TRUE
149,proceeding,appeal,9,TRUE
150,proceeding,bankruptcy,9,TRUE
151,proceeding,foreclosure,9,TRUE
152,proceeding,hearing,9,TRUE
153,hearing,administrative_hearing,9,TRUE
154,hearing,competence_hearing,9,TRUE
155,hearing,fair_hearing,9,TRUE
156,hearing,quo_warranto,9,TRUE
157,proceeding,intervention,9,TRUE
158,proceeding,lawsuit,9,TRUE
159,lawsuit,civil_suit,9,TRUE
160,lawsuit,class_action,9,TRUE
161,lawsuit,countersuit,9,TRUE
162,lawsuit,criminal_suit,9,TRUE
163,lawsuit,moot,9,TRUE
164,lawsuit,paternity_suit,9,TRUE
165,proceeding,legal_action,9,TRUE
166,legal_action,antitrust_case,9,TRUE
167,legal_action,civil_action,9,TRUE
168,legal_action,counterclaim,9,TRUE
169,legal_action,custody_case,9,TRUE
170,legal_action,lis_pendens,9,TRUE
171,legal_action,prosecution,9,TRUE
172,prosecution,double_jeopardy,9,TRUE
173,legal_action,test_case,9,TRUE
174,proceeding,litigation,9,TRUE
175,litigation,custody_battle,9,TRUE
176,litigation,vexatious_litigation,9,TRUE
177,proceeding,naturalization,9,TRUE
178,proceeding,procedure,9,TRUE
179,procedure,bureaucratic_procedure,9,TRUE
180,procedure,objection,9,TRUE
181,objection,recusation,9,TRUE
182,proceeding,receivership,9,TRUE
183,proceeding,review,9,TRUE
184,review,bill_of_review,9,TRUE
185,review,judicial_review,9,TRUE
186,proceeding,trial,9,TRUE
187,trial,court-martial,9,TRUE
188,trial,mistrial,9,TRUE
189,trial,ordeal,9,TRUE
190,trial,retrial,9,TRUE
191,trial,Scopes_trial,9,TRUE
192,trial,show_trial,9,TRUE
193,liberation,clearing,10,TRUE
194,clearing,purge,10,TRUE
195,purge,purification,10,TRUE
196,clearing,vindication,10,TRUE
197,vindication,justification,10,TRUE
198,vindication,rehabilitation,10,TRUE
199,clearing,whitewash,10,TRUE
200,liberation,deregulation,10,TRUE
