group,child,parent
10002950_2,Bayesian networks,Probabilistic reasoning algorithms
10002950_2,Variational methods,Probabilistic reasoning algorithms
10002950_2,Kernel density estimators,Density estimation
10002950_2,Maximum likelihood estimation,Probabilistic reasoning algorithms
10002950_2,Bayesian nonparametric models,Bayesian computation
10002950_2,Dimensionality reduction,Statistical graphics
10002950_2,Markov networks,Probabilistic representations
10002950_2,Stochastic processes,Probability and statistics
10002950_2,Probabilistic inference problems,Probabilistic reasoning algorithms
10002950_2,Markov processes,Stochastic processes
10002950_2,Hidden Markov models,Markov processes
10002950_2,Causal networks,Markov networks
10002950_2,Stochastic differential equations,Stochastic processes
10002950_2,Nonparametric representations,Statistical graphics
10002950_2,Density estimation,Statistical graphics
10002950_2,Regression analysis,Statistical graphics
10002950_2,Equational models,Probability and statistics
10002950_2,Loopy belief propagation,Probabilistic reasoning algorithms
10002950_2,Exploratory data analysis,Statistical graphics
10002950_2,Time series analysis,Statistical graphics
10002950_2,Simulated annealing,Statistical graphics
10002950_2,Quantile regression,Regression analysis
10002950_2,Robust regression,Regression analysis
10002950_2,Survival analysis,Statistical graphics
10002950_2,Hypothesis testing and confidence interval computation,Statistical graphics
10002950_2,Expectation maximization,Statistical graphics
10002950_2,Gibbs sampling,Statistical graphics
10002950_2,Variable elimination,Probabilistic reasoning algorithms
10002950_2,Jackknifing,Statistical graphics
10002950_2,Metropolis-Hastings algorithm,Statistical graphics
10002950_2,Random number generation,Probability and statistics
10002950_2,Bootstrapping,Statistical graphics
10002950_2,Nonparametric statistics,Probability and statistics
10002950_2,Max marginal computation,Probabilistic reasoning algorithms
10002950_2,Resampling methods,Statistical graphics
10002950_2,Sequential Monte Carlo methods,Statistical graphics
10002950_2,Cluster analysis,Statistical graphics
10002950_2,Contingency table analysis,Statistical graphics
10002950_2,Computing most probable explanation,Probabilistic reasoning algorithms
10002950_2,Markov-chain Monte Carlo methods,Statistical graphics
10002950_2,Queueing theory,Probability and statistics
10002950_2,Factor graphs,Probabilistic reasoning algorithms
10002950_2,Markov-chain Monte Carlo convergence measures,Statistical graphics
10002950_2,Statistical paradigms,Probability and statistics
10002950_3,Mathematical software performance,Mathematical software
10002950_3,Statistical software,Mathematical software
10002950_3,Solvers,Mathematical software.
10002950_5,Continuous functions,Point-set topology
10002950_5,Algebraic topology,Topology
10002950_5,Continuous mathematics,Topology
10002950_5,Geometric topology,Topology
10002950_5,Integral calculus,Calculus
10002950_5,Calculus,Differential calculus
10002950_5,Lambda calculus,Differential calculus
10002950_5,Topology,Point-set topology
10002951_5,Enterprise search,Information retrieval
10002951_5,Query suggestion,Information retrieval
10002951_5,Retrieval tasks and goals,Information retrieval
10002951_5,Similarity measures,Information retrieval
10002951_5,Searching with auxiliary databases,Information retrieval
10002951_5,Structured text search,Information retrieval
10002951_5,Sentiment analysis,Information retrieval
10002951_5,Distributed retrieval,Information retrieval
10002951_5,Retrieval effectiveness,Information retrieval
10002951_5,Document collection models,Information retrieval
10002951_5,Adversarial retrieval,Information retrieval
10002951_5,Summarization,Information retrieval
10002951_5,Question answering,Information retrieval
10002951_5,Retrieval efficiency,Information retrieval
10002951_5,Dictionaries,Information retrieval
10002951_5,Information retrieval query processing,Information retrieval
10002951_5,Content analysis and feature selection,Information retrieval
10002951_5,Language models,Information retrieval
10002951_5,Multilingual and cross-lingual retrieval,Information retrieval
10002951_5,Multimedia and multimodal retrieval,Information retrieval
10002951_5,Users and interactive retrieval,Information retrieval
10002951_5,Top-k retrieval in databases,Information retrieval
10002951_5,Retrieval models and ranking,Information retrieval
10002951_5,Near-duplicate and plagiarism detection,Information retrieval
10002951_5,Probabilistic retrieval models,Information retrieval
10002951_5,Learning to rank,Information retrieval
10002951_5,Video search,Information retrieval
10002951_5,Collaborative search,Information retrieval
10002951_5,Web and social media search,Information retrieval
10002951_5,Structure and multilingual text search,Information retrieval
10002951_5,Document filtering,Information retrieval
10002951_5,Link and co-citation analysis,Information retrieval
10002951_5,Image search,Information retrieval
10002951_5,Evaluation of retrieval results,Information retrieval
10002951_5,Information retrieval diversity,Information retrieval
10002951_5,Search interfaces,Information retrieval
10002951_5,Presentation of retrieval results,Information retrieval
10002951_5,Music retrieval,Information retrieval
10002951_5,Environment-specific retrieval,Information retrieval
10002951_5,Test collections,Information retrieval
10002951_5,Data encoding and canonicalization,Information retrieval
10002951_5,Clustering and classification,Information retrieval
10002951_5,Document structure,Information retrieval
10002951_5,Recommender systems,Information retrieval
10002951_5,Desktop search,Information retrieval
10002951_5,Query intent,Information retrieval
10002951_5,Expert search,Information retrieval
10002951_5,Novelty in information retrieval,Information retrieval
10002951_5,Specialized information retrieval,Information retrieval
10002951_5,Chemical and biochemical retrieval,Information retrieval
10002951_5,Personalization,Information retrieval
10002951_5,Query log analysis,Information retrieval
10002951_5,Business intelligence,Information retrieval
10002951_5,Information extraction,Information retrieval
10002951_5,Rank aggregation,Information retrieval
10002951_5,Mathematics retrieval,Information retrieval
10002951_5,Thesauri,Information retrieval
10002951_5,Query representation,Information retrieval
10002951_5,Ontologies,Information retrieval
10002951_5,Retrieval on mobile devices,Information retrieval
10002951_5,Search engine indexing,Information retrieval
10002951_5,Search engine architectures and scalability,Information retrieval
10002951_5,Relevance assessment,Information retrieval
10002951_5,Speech / audio search,Information retrieval
10002951_5,Task models,Information retrieval
10002951_5,Query reformulation,Information retrieval
10002951_5,Search index compression,Information retrieval
10002951_5,Peer-to-peer retrieval,Information retrieval
10002951_5,"Combination, fusion and federated search",Information retrieval
10002951_5,Document representation,Information retrieval.
10002978_3,Authentication,Security services
10002978_3,Access control,Security services
10002978_3,Authorization,Security services
10002978_3,Biometrics,Authentication
10002978_3,Graphical / visual passwords,Authentication
10002978_3,Digital rights management,Security services
10002978_3,Privacy-preserving protocols,Security services
10002978_3,Multi-factor authentication,Authentication
10002978_3,"Pseudonymity, anonymity and untraceability",Privacy-preserving protocols
10002978_9,Web application security,Software and application security
10002978_9,Domain-specific security and privacy architectures,Software and application security
10002978_9,Social network security and privacy,Software and application security
10002978_9,Software reverse engineering,Software and application security
10002978_9,Software security engineering,Software and application security
10003120_3,Social networks,"Collaborative and social computing theory, concepts and paradigms"
10003120_3,Social networking sites,Social networks
